incident_id,title,service,environment,severity,symptoms,root_cause,resolution,tags
INC-001,Kubernetes pod stuck in ImagePullBackOff,checkout-api,production,high,"New pods remain pending and kubectl shows ImagePullBackOff with a manifest unknown error","The deployment referenced image tag v2.8.1 but that tag was not pushed to the container registry","Push the missing image or update the deployment to an existing tag then restart the rollout","kubernetes,pods,imagepullbackoff,registry,image-tag"
INC-002,Container repeatedly killed for exceeding memory,payment-worker,production,critical,"Pod restarts every few minutes with exit code 137 and OOMKilled in its last state","A traffic spike increased batch size while the container memory limit remained at 512Mi","Reduce batch size and raise the tested memory limit then monitor working set and restart count","kubernetes,oomkilled,memory,exit-137,limits"
INC-003,Nginx cannot bind to HTTP port,edge-proxy,staging,high,"Nginx fails to start and logs bind to 0.0.0.0 port 80 failed address already in use","An old Apache process was still listening on port 80 after a migration","Stop and disable the conflicting service verify the listener with ss then start Nginx","nginx,port-80,address-in-use,linux,networking"
INC-004,API returns intermittent database timeouts,orders-api,production,critical,"Requests intermittently return 500 errors and PostgreSQL connection acquisition times out during peak traffic","The application connection pool allowed more connections than the database max_connections capacity","Lower and coordinate per-instance pool limits increase capacity if justified and alert on pool saturation","postgresql,connection-pool,timeout,database,capacity"
INC-005,Node disk pressure evicts workloads,kubernetes-node,production,critical,"Pods are evicted and the node reports DiskPressure while image pulls fail with no space left on device","Unused container images and oversized application logs filled the node filesystem","Prune unused images rotate logs expand the volume and configure eviction and disk-usage alerts","kubernetes,diskpressure,eviction,disk,logs"
INC-006,Service cannot resolve internal hostnames,reporting-api,staging,high,"Requests to internal services fail with temporary failure in name resolution and nslookup times out","CoreDNS pods were CPU throttled after a large increase in DNS queries","Increase CoreDNS replicas and CPU limits add query monitoring and verify upstream resolver health","kubernetes,dns,coredns,throttling,networking"
INC-007,Redis latency after cache memory saturation,session-cache,production,high,"Cache latency rises sharply and evicted_keys increases while memory usage stays at the maximum","The cache used noeviction policy and stored unbounded session payloads without TTLs","Add TTLs cap payload sizes choose an appropriate eviction policy and resize after measuring the working set","redis,cache,memory,latency,eviction"
INC-008,Deployment rollout blocked by failed readiness probe,catalog-api,production,high,"New pods run but never become ready and the rollout reaches progress deadline exceeded","The readiness probe path still used /health while the application endpoint changed to /health/ready","Update the probe path validate it inside the pod and resume the deployment rollout","kubernetes,readiness-probe,rollout,healthcheck,deployment"
INC-009,TLS certificate expired on public endpoint,customer-portal,production,critical,"Browsers reject HTTPS connections and synthetic checks report certificate has expired","The certificate renewal job could not update the secret because its service account permissions were removed","Restore least-privilege secret update permission renew the certificate and alert well before expiry","tls,certificate,expiry,cert-manager,rbac"
INC-010,High CPU caused by runaway application logging,search-api,production,high,"CPU usage stays above 95 percent and request latency climbs although traffic is normal","Debug logging serialized large request payloads on every request after a configuration change","Restore info log level remove payload logging and add configuration validation and CPU alerts","cpu,logging,latency,configuration,performance"
INC-011,Consumer lag grows on Kafka topic,billing-consumer,production,high,"Kafka consumer lag grows continuously and billing events are processed hours late","One consumer instance entered a crash loop and remaining consumers could not match partition throughput","Fix the crashing instance scale consumers up to the partition count and monitor processing rate versus ingress","kafka,consumer-lag,crashloop,scaling,events"
INC-012,GitHub Actions deployment cannot assume cloud role,deployment-pipeline,production,high,"The CI job fails during cloud login with access denied for sts AssumeRoleWithWebIdentity","The role trust policy only allowed the old repository branch after the deployment workflow moved to main","Update the OIDC trust condition for the exact repository and branch then rerun the workflow","github-actions,oidc,iam,ci-cd,access-denied"
INC-013,Load balancer returns 502 after release,web-frontend,production,critical,"Users receive 502 Bad Gateway immediately after a release while containers appear healthy","The application started on port 8081 but the service and load balancer target group still checked port 8080","Align container service and target ports verify health checks then perform a guarded rollout","load-balancer,502,port,healthcheck,deployment"
INC-014,PostgreSQL replica lag increases rapidly,orders-db-replica,production,high,"Read replicas serve stale data and replication lag rises during a bulk import","The import generated write-ahead logs faster than the replica disk could apply them because of low IOPS","Throttle the import raise replica IOPS verify network throughput and monitor WAL replay delay","postgresql,replication,replica-lag,iops,wal"
INC-015,CronJob creates duplicate daily reports,report-generator,production,medium,"Customers receive two copies of the daily report and two jobs overlap around midnight","The Kubernetes CronJob allowed concurrent runs and the first execution exceeded its normal duration","Set concurrencyPolicy to Forbid make report generation idempotent and alert on abnormal duration","kubernetes,cronjob,duplicates,concurrency,idempotency"
INC-016,Application cannot write to mounted volume,media-processor,staging,high,"The container logs permission denied when writing output files to the persistent volume","The pod securityContext ran as UID 10001 but the mounted directory was owned by root and had no matching group permission","Set an appropriate fsGroup or pre-provision correct ownership then verify with a non-root container","kubernetes,volume,permissions,security-context,non-root"
INC-017,Messages accumulate in dead-letter queue,notification-worker,production,medium,"The dead-letter queue grows and email notifications are missing for a subset of users","A newly required template variable was absent in older events causing rendering exceptions","Support a default value replay validated dead-letter messages and add schema compatibility tests","queue,dead-letter,email,schema,backward-compatibility"
INC-018,Terraform apply fails because state is locked,infrastructure-pipeline,staging,medium,"Terraform exits saying the state is locked even though no apply job is currently running","A cancelled CI runner left a stale lock record in the remote backend","Confirm no active writer remove only the verified stale lock with force-unlock and serialize apply jobs","terraform,state-lock,ci-cd,infrastructure,concurrency"
INC-019,Autoscaler does not add pods under load,recommendation-api,production,high,"Request latency and CPU rise but the HorizontalPodAutoscaler continues to show unknown metrics","The metrics-server certificate was invalid so the resource metrics API was unavailable","Repair the metrics-server certificate verify kubectl top output and confirm HPA metrics and scaling events","kubernetes,hpa,autoscaling,metrics-server,certificate"
INC-020,Liveness probe causes cascading restarts,inventory-api,production,critical,"All replicas restart during a slow downstream dependency and availability drops to zero","The liveness endpoint checked database connectivity and failed whenever the database response slowed","Make liveness test only process health use readiness for dependencies and tune thresholds using observed startup times","kubernetes,liveness-probe,restarts,database,availability"
INC-021,Requests rejected after API rate limit reached,partner-integration,production,medium,"Partner API calls return HTTP 429 and the retry queue grows rapidly","Workers retried immediately without jitter and collectively exceeded the partner quota","Implement exponential backoff with jitter honor Retry-After cap concurrency and monitor quota consumption","http-429,rate-limit,retry,backoff,integration"
INC-022,Secrets unavailable after namespace migration,auth-service,staging,high,"New pods fail at startup because the referenced secret cannot be found","The deployment moved namespaces but its secret was not recreated in the destination namespace","Create the secret through the approved secret manager update references and verify RBAC without copying plaintext","kubernetes,secrets,namespace,rbac,configuration"
INC-023,Elasticsearch cluster turns read only,log-search,production,high,"Indexing stops with a cluster block error and searches return increasingly stale results","Disk usage crossed the flood-stage watermark and Elasticsearch applied a read-only block","Free or expand disk space adjust retention then clear the block only after disk usage is safely below the watermark","elasticsearch,disk,read-only,watermark,indexing"
INC-024,Clock skew breaks signed requests,legacy-api,production,high,"Signed API requests fail authentication intermittently and logs say signature is not yet valid","NTP synchronization was disabled on one virtual machine and its clock drifted several minutes","Restore time synchronization correct the clock safely and alert on host time offset","ntp,clock-skew,authentication,signatures,linux"
